업종,상호,시설주소(도로명),시설전화번호
골프연습장업,제임스짐JS,"서울특별시 송파구 올림픽로4길 48, 프리마쇼핑센터 (잠실동)",
골프연습장업,문정역 테라스크린골프,"서울특별시 송파구 송파대로 201, 송파 테라타워2 (문정동)",
골프연습장업,키움골프GDR아카데미 문정점,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 (문정동)",
골프연습장업,행복골프훈련소 잠실점,"서울특별시 송파구 올림픽로35가길 9 (신천동, 잠실 푸르지오 월드마크)",
골프연습장업,엠클럽 골프,"서울특별시 송파구 가락로 99, 지하동 1층 1호 (석촌동)",
골프연습장업,(주) 지엠이에스티,"서울특별시 송파구 중대로 174 (가락동, 가락동 주상복합)",
골프연습장업,골프존파크 JS골프존,"서울특별시 송파구 오금로 152, 연세빌딩 (송파동)",24248111
골프연습장업,모스트 골프 아카데미,"서울특별시 송파구 새말로 62, 송파 푸르지오시티 235~240호 (문정동)",
골프연습장업,골프존파크 석촌호수점,"서울특별시 송파구 석촌호수로 188, 지하2층 201호~204호 (석촌동, 신동아로쟌뷰)",
골프연습장업,GDR골프아카데미 잠실점,"서울특별시 송파구 송파대로 562, 지하1층 (신천동, 웰리스타워,삼성웰리스아파트)",
골프연습장업,JD골프아카데미,"서울특별시 송파구 동남로4길 10, 지하 1층 (문정동)",403-0753
골프연습장업,SJ골프 아카데미,서울특별시 송파구 위례성대로12길 17 (방이동),
골프연습장업,챔피언 골프스튜디오,"서울특별시 송파구 삼전로 100, 아카데미빌딩 204호 (삼전동)",02-418-9039
체력단련장업,바디웍,서울특별시 송파구 오금로 300 (가락동),448-5161
체력단련장업,바디웍,서울특별시 송파구 마천로 61 (오금동),448-7102
체력단련장업,풍납 헬스,"서울특별시 송파구 풍성로 65, 3층 301호 (풍납동)",02-487-9385
체력단련장업,문정2호점 스포애니 (주)케이디스포츠,서울특별시 송파구 동남로4길 10 (문정동),
체력단련장업,골든짐,서울특별시 송파구 가락로 94 (석촌동),
체력단련장업,정락신용협동조합,서울특별시 송파구 동남로4길 10 (문정동),3401-3401
체력단련장업,제임스짐JS점,"서울특별시 송파구 올림픽로4길 48, 지하1층 (잠실동)",417-1294
체력단련장업,올림픽헬스교실,서울특별시 송파구 올림픽로 424 (방이동),410-1626
체력단련장업,라인핏,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 707, 708호 (거여동)",
체력단련장업,가락휘트니스센터,"서울특별시 송파구 송파대로30길 11, 2층 (가락동)",408-4580
체력단련장업,현민헬스클럽,"서울특별시 송파구 동남로18길 45 (가락동, 용진빌딩)",431-5422
체력단련장업,짐스휘트니스,"서울특별시 송파구 가락로 168 (송파동, 부성빌딩)",
체력단련장업,한성기업(주)르네상스휘트니스클럽,서울특별시 송파구 오금로 307 (오금동),401-1300
체력단련장업,슈나이더 짐,서울특별시 송파구 동남로 110 (문정동),
체력단련장업,문정1호점 스포애니 (주)케이디스포츠,"서울특별시 송파구 동남로 119 (가락동, 삼광빌딩)",443-4131
체력단련장업,재단법인국민체력센터,서울특별시 송파구 올림픽로 424 (방이동),413-5336
체력단련장업,백세청춘,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 5층 (신천동)",02-2042-0902
체력단련장업,우정휘트니스클럽,서울특별시 송파구 오금로 519 (거여동),449-2118
체력단련장업,H휘트니스,"서울특별시 송파구 가락로 171, 2층 (송파동)",3432-9696
체력단련장업,짐퍼스트 휘트니스,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)",488-4002
체력단련장업,롯데호텔 휘트니스센터,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)",419-7000
체력단련장업,잠실점 스포애니 (주)케이디스포츠,"서울특별시 송파구 삼학사로 99, 6,7층 (삼전동, 인터불고)",
체력단련장업,커브스문정클럽,"서울특별시 송파구 중대로 24, 2층 (문정동)",3402-0300
체력단련장업,더드림 피트니스,"서울특별시 송파구 백제고분로41길 43-5, 신천빌딩 2층 (송파동)",
체력단련장업,(주)옵티멈,"서울특별시 송파구 올림픽로35가길 16 (신천동, 송파 FUN STADIUM)",2240-4600
체력단련장업,(주)잠실투엑스휘트니스,"서울특별시 송파구 송파대로28길 27 (가락동, 송파성원쌍떼빌)",02-2043-9811
체력단련장업,크로스핏거여 앤 탑스포츠클럽,"서울특별시 송파구 오금로 508 (거여동, 스타빌딩)",
체력단련장업,커브스오금클럽,"서울특별시 송파구 양재대로71길 1-20, 3층 (방이동)",
체력단련장업,(주)인어스휘트니스 잠실점,"서울특별시 송파구 올림픽로 74 (잠실동, 잠실월드메르디앙)",423-0078
체력단련장업,스카이 휘트니스,"서울특별시 송파구 오금로 410, 4층 (가락동)",
체력단련장업,스타칼리 휘니스트,"서울특별시 송파구 오금로 306, 지하1층 (가락동)",425-6555
체력단련장업,피트니스비엠,"서울특별시 송파구 올림픽로 76, 12층 1201,1202호 (잠실동, J타워)",02-512-7721
체력단련장업,NC 휘트니스,서울특별시 송파구 새말로8길 20 (문정동),
체력단련장업,커브스가락클럽,"서울특별시 송파구 동남로 198, 3층 (가락동)",
체력단련장업,커브스 잠실클럽,"서울특별시 송파구 올림픽로12길 23, 2층 (잠실동)",02-415-3070
체력단련장업,카인드짐,"서울특별시 송파구 백제고분로 501, 지하2층 (방이동)",
체력단련장업,JUST 1 PERSONAL TRAINING,"서울특별시 송파구 석촌호수로 160, 5층 (삼전동)",
체력단련장업,슈퍼스타 휘트니스,서울특별시 송파구 풍성로 52 (풍납동),
체력단련장업,송파커브스,"서울특별시 송파구 가락로 205, 3층 (송파동)",
체력단련장업,튼튼해짐,"서울특별시 송파구 위례성대로20길 27, 2층 (오금동)",070-4408-0797
체력단련장업,GYM1ST(짐퍼스트),"서울특별시 송파구 중대로 68, 7층 (문정동)",431-2200
체력단련장업,커브스잠실나루클럽,"서울특별시 송파구 올림픽로35길 112, 장미아파트 비상가 1동 4층 1호 (신천동)",
체력단련장업,Back Fituess,"서울특별시 송파구 중대로 187 (가락동, 가락빌딩 2,3층)",
체력단련장업,스포존,"서울특별시 송파구 충민로 52, 지하1층 (문정동)",2047-0300
체력단련장업,트리플 에스 피티짐,"서울특별시 송파구 송파대로49길 55, 3층 (석촌동)",3431-9425
체력단련장업,이코리아PTGYM,"서울특별시 송파구 위례성대로22길 18, 2층 (오금동)",3402-1113
체력단련장업,크로스핏 에이블,"서울특별시 송파구 석촌호수로 272, 지하1층 (송파동)",02-421-7668
체력단련장업,골든짐,"서울특별시 송파구 올림픽로 106 (잠실동, 상록빌딩)",070-8973-9855
체력단련장업,커브스거여클럽,"서울특별시 송파구 오금로 507, 거여빌딩 5층 501호 (거여동)",02-407-3330
체력단련장업,네추럴 홍 휘트니스,서울특별시 송파구 마천로 250 (거여동),408-3337
체력단련장업,데일리 피트니스,"서울특별시 송파구 동남로 202 (가락동, 광성빌딩)",400-1388
체력단련장업,DM휘트니스,서울특별시 송파구 오금로24길 13 (송파동),463-5790
체력단련장업,프리짐 휘트니스,서울특별시 송파구 올림픽로47길 19 (풍납동),
체력단련장업,글로리짐,서울특별시 송파구 백제고분로31길 14 (삼전동),070-8958-3169
체력단련장업,오웰,서울특별시 송파구 동남로20길 25 (가락동),
체력단련장업,마크짐휘트니스,서울특별시 송파구 송파대로 405 (석촌동),
체력단련장업,제이팀,서울특별시 송파구 올림픽로 435 (신천동),
체력단련장업,마크짐,"서울특별시 송파구 오금로 111, 지하1층층 (방이동)",
체력단련장업,더디젤,서울특별시 송파구 백제고분로22길 4 (삼전동),
체력단련장업,티엔슈튜디오,"서울특별시 송파구 삼학사로19길 38-1, 지하1층 (삼전동)",
체력단련장업,PT클럽,"서울특별시 송파구 백제고분로11길 35, 3층 (잠실동)",
체력단련장업,바디퓨처,서울특별시 송파구 백제고분로 116 (잠실동),
체력단련장업,(주)잠실투엑스 휘트니스,"서울특별시 송파구 올림픽로 145, 지층층 1-19호 (잠실동)",
체력단련장업,아이디얼핏,"서울특별시 송파구 삼학사로 100, 3층 (석촌동, 그랜드빌딩)",02-2202-6265
체력단련장업,청우인터엠,"서울특별시 송파구 백제고분로34길 3, 지하1층 (석촌동)",
체력단련장업,송파점 스포애니 (주)케이디스포츠,"서울특별시 송파구 오금로 204, 가동 3,4층 (송파동)",
체력단련장업,RESTART GYM,"서울특별시 송파구 삼전로 100, 아카데미빌딩 2층 4-1호 (삼전동)",
체력단련장업,SAM'S PT GYM,"서울특별시 송파구 송파대로22길 4, 해성빌딩 3층 (문정동)",
체력단련장업,핏존,"서울특별시 송파구 가락로 114, 신우빌딩 6층 (석촌동)",
체력단련장업,Dr.Line PT GYM,서울특별시 송파구 송파대로 406 (송파동),
체력단련장업,Crossfit 피어스 배틀,서울특별시 송파구 올림픽로10길 16 (잠실동),
체력단련장업,우일태권도,서울특별시 송파구 성내천로47길 38-1 (마천동),
체력단련장업,신천점 스포애니 (주)케이디스포츠,서울특별시 송파구 올림픽로 98 (잠실동),02-422-9618
체력단련장업,BodyCafe,서울특별시 송파구 위례성대로18길 31-12 (방이동),02-412-2253
체력단련장업,2K gym,서울특별시 송파구 중대로 105 (가락동),02-430-9682
체력단련장업,퍼스트 휘트니스,서울특별시 송파구 송이로 239 (문정동),
체력단련장업,바디플래너,서울특별시 송파구 석촌호수로 100 (잠실동),
체력단련장업,위너핏,서울특별시 송파구 마천로 25 (방이동),02-6418-9600
체력단련장업,올림픽선수촌스포츠센타,서울특별시 송파구 양재대로 1222 (방이동),02-449-2526
체력단련장업,크로스핏앤서,서울특별시 송파구 위례성대로 180 (오금동),
체력단련장업,코치짐,"서울특별시 송파구 오금로 247 (방이동, 건양빌딩)",221473040
체력단련장업,더 랩스 피트니스 삼전,"서울특별시 송파구 삼전로 46 (삼전동, 삼삼빌딩)",
체력단련장업,시너지 피티 앤 필라테스,"서울특별시 송파구 중대로9길 41, 익수빌딩 4층 (가락동)",
체력단련장업,휴메이크 휘트니스,서울특별시 송파구 백제고분로 275 (석촌동),
체력단련장업,V-GYM,"서울특별시 송파구 올림픽로 505 (풍납동, 유원빌딩)",02-472-8205
체력단련장업,몸 PT,"서울특별시 송파구 올림픽로 145, 리센츠상가 5층 03호 (잠실동)",
체력단련장업,바디웍,"서울특별시 송파구 위례성대로20길 23, 3층 (오금동, 신승빌딩)",02-408-3966
체력단련장업,Fitness Dagym (휘트니스 다짐),"서울특별시 송파구 가락로 244 (방이동, 동원빌딩)",02-424-3520
체력단련장업,라이즈업 피티짐,"서울특별시 송파구 새말로 105 (문정동, 현석빌딩)",
체력단련장업,Rock Body GYM,"서울특별시 송파구 거마로 14 (거여동, 청송빌딩)",02-406-8965
체력단련장업,스타리버 유스포츠,"서울특별시 송파구 올림픽로35길 93 (신천동, 더샵스타리버)",02-422-5432
체력단련장업,다이나믹 짐,"서울특별시 송파구 백제고분로7길 8-12 (잠실동, 승현빌딩)",02-417-7670
체력단련장업,콕스다이어트,서울특별시 송파구 새말로 114 (문정동),02-402-4479
체력단련장업,삼전W짐,"서울특별시 송파구 백제고분로 202 (삼전동, 두레빌딩)",02-420-4378
체력단련장업,로그짐 잠실새내점,"서울특별시 송파구 석촌호수로 61, 상가동 B110호 (잠실동, 트리지움)",
체력단련장업,Refresh PT Gym,"서울특별시 송파구 오금로32길 14, 101동 208-2호 (송파동, 송파삼성래미안아파트)",
체력단련장업,MUTO FIT,"서울특별시 송파구 올림픽로35가길 9, B01호 (신천동, 잠실 푸르지오 월드마크)",
체력단련장업,휴메이크 휘트니스,"서울특별시 송파구 석촌호수로 88, 4층 (잠실동, 대원빌딩)",02-421-7977
체력단련장업,더 웰짐,서울특별시 송파구 오금로35길 14 (오금동),
체력단련장업,리복크로스핏문정,"서울특별시 송파구 동남로 108, 지하1층 1호 (문정동, 모즈아울렛)",02-402-7668
체력단련장업,얼라인 프라이빗 짐,"서울특별시 송파구 마천로 35, 3호 (방이동, 태웅빌딩)",02-423-1101
체력단련장업,Elite training center,"서울특별시 송파구 위례성대로 52, 지하1층 (방이동)",
체력단련장업,위메이드핏,"서울특별시 송파구 새말로 62, 지하1층 B06호 (문정동, 송파 푸르지오시티)",02-404-8821
체력단련장업,탐 프라이빗짐 잠실점,"서울특별시 송파구 백제고분로 122, A동 2층 (잠실동, 성현교회)",02-413-1033
체력단련장업,파크하비오휘트니스&골프,"서울특별시 송파구 송파대로 111, 하비오길 중앙로 202동 202, B01호 (문정동, 파크하비오)",02-6925-6922
체력단련장업,IGYM(아이짐),"서울특별시 송파구 송파대로 167, 지하층 G180호 (문정동, 문정역테라타워)",070-7788-5258
체력단련장업,잠실피트니스,"서울특별시 송파구 송파대로 562, 지하1층 (신천동, 한빛프라자,삼성웰리스아파트)",02-414-9949
체력단련장업,라이프피티센터(Life PT Center),"서울특별시 송파구 양재대로72길 15, 상가2동 지하층 비101호 (오금동, 현대백조아파트)",
체력단련장업,짐퍼스트 법조타운,"서울특별시 송파구 법원로 114 (문정동, 엠스테이트)",
체력단련장업,트레이닝타임,"서울특별시 송파구 송파대로 468 (송파동, 금남빌딩)",
체력단련장업,짐포유(GYM FOR U),서울특별시 송파구 백제고분로 460 (방이동),02-416-2577
체력단련장업,헬스토피아(WE),서울특별시 송파구 삼학사로 30 (주)크레송 지하층 (석촌동),
체력단련장업,무브 360,"서울특별시 송파구 올림픽로 300, 6층 (신천동)",02-2007-8546
체력단련장업,서세환 짐,"서울특별시 송파구 백제고분로 119, 덕원빌딩 지하1층 (잠실동)",02-413-1340
체력단련장업,오하운 GYM,"서울특별시 송파구 백제고분로 419, 유정빌딩 지하1, 지상2층 (송파동)",
체력단련장업,바디클락,"서울특별시 송파구 새말로 62, 송파 푸르지오시티 (문정동)",
체력단련장업,아미부트캠프,"서울특별시 송파구 석촌호수로 296, 대성빌딩 (송파동)",
체력단련장업,피오,"서울특별시 송파구 백제고분로41길 15, 덕원빌딩 (송파동)",
체력단련장업,퍼포먼스 피지오 트레이닝 센터(Perform Physio),"서울특별시 송파구 송파대로 201, 송파테라타워2 B동 204호 (문정동)",02-881-5579
체력단련장업,젠틀브로스짐,"서울특별시 송파구 석촌호수로 156, 삼전동썬프라자 (삼전동)",02-418-0111
체력단련장업,근육터짐 지방빠짐 2호점,"서울특별시 송파구 삼학사로 81, 서울빌딩 (삼전동)",
체력단련장업,이모션 짐,서울특별시 송파구 백제고분로7길 3 (잠실동),070-8801-2510
체력단련장업,아이디얼바디(IDEAL BODY),"서울특별시 송파구 위례성대로 18, 금복빌딩 (방이동)",
체력단련장업,더랩스휘트니스석촌,"서울특별시 송파구 백제고분로 364, 대준빌딩 (석촌동)",02-423-6733
체력단련장업,바디퍼포먼스짐,"서울특별시 송파구 동남로 234, 진넥스베르디엠 2층 (가락동)",02-402-3999
체력단련장업,크로스핏 힙스터 (Crossfit Hipster),"서울특별시 송파구 새말로 177, MK빌딩 (문정동)",
체력단련장업,몬스터P.T 뷰티필라테스,"서울특별시 송파구 송파대로 422, 영빌딩 지하1층 (송파동)",
체력단련장업,스포웰짐,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 (문정동)",
체력단련장업,H2GYM (에치치투짐),서울특별시 송파구 올림픽로 120 (잠실동),02-412-6960
체력단련장업,DOUBLE S GYM,"서울특별시 송파구 백제고분로 455, 성보빌딩 2층 (방이동)",02-414-7582
체력단련장업,리키PT STUDIO,"서울특별시 송파구 법원로4길 6, 문정아이파크 3층 (문정동)",
체력단련장업,허니짐 김성권 P.T,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 4층 (잠실동)",
체력단련장업,3B휘트니스,"서울특별시 송파구 삼전로 84, 지하1층 (삼전동)",
체력단련장업,문정법조타운점 스포애니 (주)케이디스포츠,"서울특별시 송파구 송파대로 145, 문정 오벨리스크 (문정동)",02-448-9618
체력단련장업,GREEN DAY GYM,"서울특별시 송파구 백제고분로 204, 에스엔씨빌딩 (삼전동)",
체력단련장업,삼손헬스,서울특별시 송파구 삼전로 96 (삼전동),02-419-9908
체력단련장업,The third Place,"서울특별시 송파구 백제고분로22길 4-11, 지하1층 (삼전동)",
체력단련장업,채움 P.T,"서울특별시 송파구 송이로30길 19, 201호 (문정동, 형정빌딩)",
체력단련장업,아이디얼 필라테스,"서울특별시 송파구 삼학사로 100, 그랜드빌딩 3층 301호 (석촌동)",1065222937
체력단련장업,부스터 9 (Booster 9),"서울특별시 송파구 마천로 13, 3층 301호 (방이동)",
체력단련장업,CLUB GYM,"서울특별시 송파구 가락로 273, 102호 (방이동)",
체력단련장업,크로스핏 송파,서울특별시 송파구 백제고분로46길 14 (송파동),7076221037
체력단련장업,one's body,"서울특별시 송파구 오금로 136, 청양빌딩 (송파동)",
체력단련장업,나비드짐,"서울특별시 송파구 위례광장로 200, 에스비트램스퀘어 10층 (장지동)",24079422
체력단련장업,더블에스휘트니스,"서울특별시 송파구 위례광장로 188, 아이온스퀘어 (장지동)",
체력단련장업,더 메이트,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 2층 218,219,215호 (문정동)",400-1907
체력단련장업,커브스 석촌클럽,"서울특별시 송파구 가락로 54, 5층 (석촌동)",423-7330
체력단련장업,박제성 운동케어 CHI & FIT 퍼스널 트레이닝,"서울특별시 송파구 오금로 483, 거여정형외과 5층 (거여동)",02-6954-6914
체력단련장업,라이트짐,"서울특별시 송파구 오금로31길 3, 우성빌딩 지하층 (방이동)",02-424-9682
체력단련장업,올바로 짐,"서울특별시 송파구 법원로9길 26, 에이치비지니스파크 c동 지하층 112~119호 (문정동)",
체력단련장업,트윈짐,"서울특별시 송파구 마천로 79, 장한빌딩 4층 (오금동)",
체력단련장업,(주)한국그룹운동개발원,"서울특별시 송파구 송이로 91, 5층 (가락동)",
체력단련장업,위메이트핏,"서울특별시 송파구 중대로 60-13, 청기와빌딩 3층 (문정동)",
체력단련장업,효 GYM,"서울특별시 송파구 백제고분로18길 10, 2층 2호 (잠실동)",
체력단련장업,바디러너스 주식회사,"서울특별시 송파구 송파대로28길 43, 송파KCC웰츠타워 2층 205호 (가락동)",
체력단련장업,가디언 오브 갤럭시 PT,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 5층 5비 11호 (잠실동)",
체력단련장업,페인스톰 잠실,"서울특별시 송파구 올림픽로 100, 효창타워 지하1층 (잠실동)",
체력단련장업,Anytime Fitness,서울특별시 송파구 백제고분로 101 (주)서일빌딩 1층 (잠실동),
체력단련장업,제이에이치 피티짐 앤 필라테스(JH PTgym & Pilates),"서울특별시 송파구 위례광장로 136, 4동 D-207~208호 (장지동, 위례아이파크)",
체력단련장업,와이낫짐,"서울특별시 송파구 삼전로9길 5-2, 지하층 B01호 (잠실동)",
체력단련장업,피지컬액티브짐,"서울특별시 송파구 올림픽로34길 5-23, 잠실파크웨이 지하1층 (방이동)",
체력단련장업,로그짐 방이점,"서울특별시 송파구 마천로5길 6, 가송빌딩 7층 (오금동)",
체력단련장업,바디랩그룹트레이닝&PT,"서울특별시 송파구 올림픽로35길 104, 2, 3층 (신천동, 장미아파트)",
체력단련장업,Body Atelier,"서울특별시 송파구 위례순환로 478, 센트라포레 1101호 (장지동)",
체력단련장업,팀크레모아,"서울특별시 송파구 백제고분로21길 20, 지하1층 (삼전동)",
체력단련장업,피지컬액티브,"서울특별시 송파구 오금로11길 37, 대명벨리온 2층 204호,205호 (방이동)",
체력단련장업,카이로 바른 척추교정,"서울특별시 송파구 석촌호수로 135, 레이크팰리스 3층 310호 (잠실동)",
체력단련장업,테라피티,"서울특별시 송파구 법원로4길 5, 송파법조타운푸르지오 지하1층 B135호 (문정동)",
체력단련장업,Teddy Fitness,"서울특별시 송파구 백제고분로39길 23, 지층층 02호 (석촌동)",
체력단련장업,트레이닝 메이트,"서울특별시 송파구 삼전로13길 51, 유니크빌 지하1층 (잠실동)",
체력단련장업,제이핏 피티 앤 필라테스,"서울특별시 송파구 토성로 59, 선일빌딩 2층 (풍납동)",
체력단련장업,하트너 짐,"서울특별시 송파구 충민로 52, 가든파이브웍스 지하1층 1090호 (문정동)",
체력단련장업,아머피티샵,"서울특별시 송파구 석촌호수로 114, 지하1층 (잠실동)",
체력단련장업,효 GYM,"서울특별시 송파구 백제고분로18길 10, 2층 (잠실동)",
체력단련장업,머슬 하우스,서울특별시 송파구 백제고분로41길 18 (송파동),
체력단련장업,(주) 더랩스휘트니스 석촌고분,"서울특별시 송파구 백제고분로 276, 공익빌딩 3층 2호 (석촌동)",02-422-4365
체력단련장업,AR휘트니스,"서울특별시 송파구 양산로 40, 지하1층 (거여동)",1062954526
체력단련장업,뽀종월드,"서울특별시 송파구 백제고분로 490, 거보산업(주) 지하1층 (방이동)",
체력단련장업,세렌디PT&Pilates,"서울특별시 송파구 송파대로 437, 덕일빌딩 (석촌동)",
체력단련장업,휘트니스 플레이스(Fitness Place),"서울특별시 송파구 충민로2길 28, 대진플라자2 2층 201, 202, 203호 (장지동)",
체력단련장업,코드엠 트레이닝,"서울특별시 송파구 마천로8길 21, 지하1층 (오금동)",
체력단련장업,에스바디짐,"서울특별시 송파구 가락로 144, 송파 린 3층 (송파동)",02-422-2718
체력단련장업,애니타임피트니스 송파동점,"서울특별시 송파구 가락로 205, 송림빌딩 1층 (송파동)",
체력단련장업,베스트 트레이닝 스튜디오(BTS),"서울특별시 송파구 송파대로 345, A동 B1층 3호 (가락동, 헬리오시티)",
체력단련장업,어썸핏,"서울특별시 송파구 석촌호수로 298, 2층 2호 (송파동, 잠실대우레이크월드)",02-423-9682
체력단련장업,테라피티,"서울특별시 송파구 석촌호수로 146, 지하1층 (삼전동)",
체력단련장업,밸류짐,"서울특별시 송파구 중대로9길 30, 다보빌딩 (가락동)",
체력단련장업,스파인랩,"서울특별시 송파구 법원로4길 5, 송파법조타운푸르지오 (문정동)",
체력단련장업,피크닉짐,"서울특별시 송파구 가락로 241, ING파크뷰 2층 (방이동)",
체력단련장업,씨케이짐(C.K GYM),서울특별시 송파구 새말로10길 5 (문정동),
체력단련장업,헬스보이짐 잠실점,"서울특별시 송파구 올림픽로 240, 롯데월드 6층 6층 (잠실동)",
체력단련장업,스포니스 잠실새내점,"서울특별시 송파구 올림픽로12길 17, 지하 1층 (잠실동)",02-422-1509
체력단련장업,PT스튜디오 건강한 사람들,"서울특별시 송파구 가락로 134, 지하1층 1호 (송파동)",
체력단련장업,로그짐 잠실나루점,"서울특별시 송파구 올림픽로37길 130, 파크리오상가 A동 5층 11호 (신천동)",02-419-9682
체력단련장업,리핏바디짐,"서울특별시 송파구 백제고분로45길 34, 동방빌딩 3층 (송파동)",
체력단련장업,플랜비휘트니스,"서울특별시 송파구 동남로 286, 영재사관학원 3층 (오금동)",
체력단련장업,로하핏 스튜디오,"서울특별시 송파구 송파대로 167, 문정역테라타워 B1층 G154호 (문정동)",1096094915
체력단련장업,머스트무브짐 PT&Pilates 잠실새내 4호점,"서울특별시 송파구 올림픽로 108, 맥스빌딩 10층 (잠실동)",02-419-0228
체력단련장업,테디피트니스 방이점,"서울특별시 송파구 올림픽로32길 22-13, 지층 2호 (방이동)",
체력단련장업,로그짐 잠실역점,"서울특별시 송파구 올림픽로 293-19, 305, 306, 307호 (신천동, 현대타워아파트)",02-417-9682
체력단련장업,MILO GYM,"서울특별시 송파구 삼학사로14길 15, 2층 (석촌동)",
체력단련장업,락 바디짐,"서울특별시 송파구 송이로 194, 레미안빌딩 6층 (문정동)",
체력단련장업,라곰 트레이닝,"서울특별시 송파구 송파대로 451, 지층 (석촌동)",
체력단련장업,로그짐 올림픽공원점,"서울특별시 송파구 올림픽로35길 10, 제비동 2층 207호 (신천동, 파크리오)",02-416-9682
체력단련장업,엠알티핏 잠실점,"서울특별시 송파구 백제고분로19길 4, 뜨레피움2차 지1층 비01호 (잠실동)",02-3431-2749
체력단련장업,V therapy 안티에이징센터,"서울특별시 송파구 가락로 209, 사이언스빌딩 4층 (송파동)",070-4121-7575
체력단련장업,지금부터 핏,"서울특별시 송파구 석촌호수로 134, 4층 (삼전동)",
체력단련장업,THE JUNG FIT,"서울특별시 송파구 백제고분로41길 33, 티에스티빌딩 지하1층 (송파동)",
체력단련장업,바디 매니지먼트,"서울특별시 송파구 가락로 110, 3층 (석촌동)",
체력단련장업,엠브이엠 거여역점,"서울특별시 송파구 양산로4길 9, 2층 (거여동)",02-403-8821
체력단련장업,하이 피트니스,"서울특별시 송파구 백제고분로 128, H타워 지하1층 (잠실동)",
체력단련장업,헬리오 GYM,"서울특별시 송파구 송파대로 345, B동 2층 92호 (가락동, 헬리오시티)",
체력단련장업,에임트레이닝랩 부티크 스튜디오,"서울특별시 송파구 올림픽로35길 93, B106, B126호 (신천동, 더샵스타리버)",02-421-8608
체력단련장업,나홀로짐에,"서울특별시 송파구 정의로7길 13, 힐스테이트에코송파 1층 114호 (문정동)",
체력단련장업,효 GYM 3호점,"서울특별시 송파구 백제고분로27길 11, 2층 (삼전동)",
체력단련장업,행복한휘트니스,"서울특별시 송파구 법원로 90, 파트너스2 B103, 104호 (문정동)",02-403-8887
체력단련장업,데일리 피트니스&필라테스,"서울특별시 송파구 마천로 315, 지하1~20호 (마천동, 현대그린빌)",
기타,장미에어로빅,,414-2355
기타,영에어로빅,,421-5403
기타,쌍용올림픽에어로빅,,409-0600
기타,향군회관에어로빅,,421-4442
기타,미래에어로빅,,407-4540
기타,(주)한배엔터테인먼트,,
기타,헤렌 휘트니스 파크,"서울특별시 송파구 백제고분로9길 10  (잠실동,(지하1층))",3431-4681
기타,이지에어로빅,,414-1802
기타,나인댄스스쿨,서울특별시 송파구 중대로20길 49 (가락동),406-8824
기타,엑스스포츠(주),,470-8814
기타,Anna B. Academy,"서울특별시 송파구 백제고분로9길 47 (잠실동,3층)",
기타,휘트니스플러스,"서울특별시 송파구 백제고분로 159  (잠실동,5층)",424-2386
당구장업,원당구장,서울특별시 송파구 마천로45길 8 (마천동),403-8614
당구장업,U당구클럽,"서울특별시 송파구 백제고분로 426 (송파동, 백양빌딩)",420-9474
당구장업,대박,"서울특별시 송파구 삼학사로19길 7, 동화빌딩 지하1층 (삼전동)",
당구장업,천재,"서울특별시 송파구 올림픽로47길 19 (풍납동, 오성빌딩)",470-6475
당구장업,삼진,"서울특별시 송파구 삼학사로13길 15 (삼전동, 달성빌딩)",421-7208
당구장업,준당구클럽,서울특별시 송파구 오금로 188 (송파동),419-2259
당구장업,프로2000당구장,서울특별시 송파구 오금로46길 5 (가락동),02-431-9719
당구장업,오페라당구장,"서울특별시 송파구 송파대로 286 (가락동, 신흥빌딩)",402-7996
당구장업,레이크당구장,"서울특별시 송파구 송파대로49길 33, 3층 (석촌동)",
당구장업,스타당구클럽,서울특별시 송파구 오금로 300 (가락동),
당구장업,아트 당구장,"서울특별시 송파구 마천로15길 5, 2층 (오금동)",448-8434
당구장업,귀빈당구장,서울특별시 송파구 위례성대로18길 27-10 (방이동),2202-0661
당구장업,원 당구장,"서울특별시 송파구 백제고분로48길 16 (방이동, 금호빌딩)",2202-4571
당구장업,New 지펠당구장,"서울특별시 송파구 오금로36길 15 (가락동, 신영빌딩)",430-7093
당구장업,허슬러당구장,서울특별시 송파구 동남로 117 (가락동),443-6890
당구장업,제우스당구장,"서울특별시 송파구 가락로 114 (석촌동, 신우빌딩)",
당구장업,선방당구장,"서울특별시 송파구 오금로 528 (거여동, 영채빌딩)",
당구장업,건영당구장,"서울특별시 송파구 새말로8길 지하 11 (문정동, 건영빌딩)",
당구장업,올림픽당구장,"서울특별시 송파구 삼전로 78 (삼전동, 현대빌딩)",414-1211
당구장업,허리우드당구장,서울특별시 송파구 백제고분로7길 6 (잠실동),
당구장업,뉴필리당구장,서울특별시 송파구 마천로 281 (마천동),
당구장업,A+당구장,서울특별시 송파구 동남로 318 (오금동),402-5184
당구장업,우정당구장,"서울특별시 송파구 백제고분로39길 31, 지하1층 (석촌동)",
